Processed File Name,Group,Year,Boundary Level,Source 1,Source 2,License,Link to Source Data,Changes,Known Errors,Raw File Name,,
AFG_ADM0.zip,Afghanistan,2012,ADM 0,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Strictly for humanitarian purposes,https://data.humdata.org/dataset/afg-admin-boundaries,No,,afg_admbnd_adm1_pol_shp.zip,,
AFG_ADM1.zip,Afghanistan,2012,ADM 1,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Strictly for humanitarian purposes,https://data.humdata.org/dataset/afg-admin-boundaries,No,,afg_admbnd_adm1_pol_shp.zip,,
AFG_ADM2.zip,Afghanistan,2012,ADM 2,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Strictly for humanitarian purposes,https://data.humdata.org/dataset/afg-admin-boundaries,No,,afg_admbnd_adm2_pol_shp.zip,,
ALB_ADM0.zip,Albania,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,Albania_Adm1.zip,,
ALB_ADM1.zip,Albania,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,Albania_Adm1.zip,,
ALB_ADM2.zip,Albania,2013,ADM 2,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,Outdated,Albania_AL7.zip,,
ALB_ADM3.zip,Albania,2013,ADM 3,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,Outdated,Albania_AL8.zip,,
DZA_ADM0.zip,Algeria,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Algeria.shp.zip,,
DZA_ADM1.zip,Algeria,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Algeria.shp.zip,,
DZA_ADM2.zip,Algeria,2017,ADM 2,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Algeria.shp.zip,,
DZA_ADM3.zip,Algeria,2017,ADM 3,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Algeria.shp.zip,,
AND_ADM0.zip,Andorra,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Andorra.shp.zip,,
AND_ADM1.zip,Andorra,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Andorra.shp.zip,,
AGO_ADM0.zip,Angola,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Bengo.shp.zip,,
AGO_ADM1.zip,Angola,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Bengo.shp.zip,,
ATG_ADM0.zip,Antigua and Barbuda,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Antigua_and_Barbuda.shp.zip,,
ARG_ADM0.zip,Argentina,2015,ADM 0,IGN Argentina,,"""must be shared free and for free""",http://www.ign.gob.ar/SIG,No,,PROVINCIAS.zip,,
ARG_ADM1.zip,Argentina,2015,ADM 1,IGN Argentina,,"""must be shared free and for free""",http://www.ign.gob.ar/SIG,No,,PROVINCIAS.zip,,
ARG_ADM2.zip,Argentina,2015,ADM 2,IGN Argentina,,"""must be shared free and for free""",http://www.ign.gob.ar/SIG,No,,DEPARTAMENTOS.zip,,
ARM_ADM0.zip,Armenia,2014,ADM 0,Government of Armenia,United Nations Office for the Coordination of Humanitarian Affairs ROCCA,Creative Commons Attribution for Intergovernmental Organizations,https://data.humdata.org/dataset/armenia-administrative-boundaries,No,,arm_admbnda_adm1_gov.zip,,
ARM_ADM1.zip,Armenia,2014,ADM 1,Government of Armenia,United Nations Office for the Coordination of Humanitarian Affairs ROCCA,Creative Commons Attribution for Intergovernmental Organizations,https://data.humdata.org/dataset/armenia-administrative-boundaries,No,,arm_admbnda_adm1_gov.zip,,
AUS_ADM0.zip,Australia,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Australia.shp (1).zip,,
AUS_ADM1.zip,Australia,2016,ADM 1,PSMA Australia Limited,data.gov.au,CC-BY 4.0 ,https://data.gov.au/dataset/psma-administrative-boundaries,Yes,,may17adminboundsesrishapefileordbffile20170525134529.zip,,
AUS_ADM2.zip,Australia,2016,ADM 2,PSMA Australia Limited,data.gov.au,CC-BY 4.0 ,https://data.gov.au/dataset/psma-administrative-boundaries,Yes,Names need to be added,may17adminboundsesrishapefileordbffile20170525134529.zip,,
AUT_ADM0.zip,Austria,2017,ADM 0,"Federal Office for Metrology and Survey, Austria",Derived from ADM4 layer,Creative Commons Attribution: ShareAlike 2.0,https://www.data.gv.at/katalog/dataset/51bdc6dc-25ae-41de-b8f3-938f9056af66,No,,VGD-Oesterreich_gst.zip,,
AUT_ADM1.zip,Austria,2017,ADM 1,"Federal Office for Metrology and Survey, Austria",Derived from ADM4 layer,Creative Commons Attribution: ShareAlike 2.0,https://www.data.gv.at/katalog/dataset/51bdc6dc-25ae-41de-b8f3-938f9056af62,No,,VGD-Oesterreich_gst.zip,,
AUT_ADM2.zip,Austria,2017,ADM 2,"Federal Office for Metrology and Survey, Austria",Derived from ADM4 layer,Creative Commons Attribution: ShareAlike 2.0,https://www.data.gv.at/katalog/dataset/51bdc6dc-25ae-41de-b8f3-938f9056af63,No,,VGD-Oesterreich_gst.zip,,
AUT_ADM3.zip,Austria,2017,ADM 3,"Federal Office for Metrology and Survey, Austria",Derived from ADM4 layer,Creative Commons Attribution: ShareAlike 2.0,https://www.data.gv.at/katalog/dataset/51bdc6dc-25ae-41de-b8f3-938f9056af64,No,,VGD-Oesterreich_gst.zip,,
AUT_ADM4.zip,Austria,2017,ADM 4,"Federal Office for Metrology and Survey, Austria",,Creative Commons Attribution: ShareAlike 2.0,https://www.data.gv.at/katalog/dataset/51bdc6dc-25ae-41de-b8f3-938f9056af65,No,,VGD-Oesterreich_gst.zip,,
AZE_ADM0.zip,Azerbaijan,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,azerbaijan_adm1_osm.zip,,
AZE_ADM1.zip,Azerbaijan,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,Names need to be cleaned,azerbaijan_adm1_osm.zip,,
BHS_ADM0.zip,Bahamas,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,Yes,,exported_boundaries_New_Providence.shp.zip,,
BHS_ADM1.zip,Bahamas,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_New_Providence.shp.zip,,
BHR_ADM0.zip,Bahrain,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Capital_Governorate.shp.zip,,
BHR_ADM1.zip,Bahrain,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Capital_Governorate.shp.zip,,
BGD_ADM0.zip,Bangladesh,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Barisal_Division.shp.zip,,
BGD_ADM1.zip,Bangladesh,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Barisal_Division.shp.zip,,
BGD_ADM2.zip,Bangladesh,2015,ADM 2,Bangladesh Bureau of Statistics (BBS),United Nations Office for the Coordination of Humanitarian Affairs ROAP,Freely available for humanitarian purposes,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,No,,bgd_bnda_adm2_2015.zip,,
BGD_ADM3.zip,Bangladesh,2015,ADM 3,Bangladesh Bureau of Statistics (BBS),United Nations Office for the Coordination of Humanitarian Affairs ROAP,Freely available for humanitarian purposes,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,No,Potentially outdated,bdg_bnda_adm3_2015.zip,,
BGD_ADM4.zip,Bangladesh,2015,ADM 4,Bangladesh Bureau of Statistics (BBS),United Nations Office for the Coordination of Humanitarian Affairs ROAP,Freely available for humanitarian purposes,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,No,Potentially outdated,bgd_bnda_adm4_2015.zip,,
BRB_ADM0.zip,Barbados,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Christ_Church.shp.zip,,
BRB_ADM1.zip,Barbados,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Christ_Church.shp.zip,,
BLR_ADM0.zip,Belarus,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Brest_Region.shp.zip,,
BLR_ADM1.zip,Belarus,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Brest_Region.shp.zip,,
BLR_ADM2.zip,Belarus,2017,ADM 2,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,Yes,"The city of Minsk is not included in the ADM2 layer, it is administrated separately according to Wikipedia",belarus_adm2_osm.zip,,
BEL_ADM0.zip,Belgium,2015,ADM 0,Statistics Belgium,,Open Data License: http://statbel.fgov.be/en/statistics/opendata/licence/,http://statbel.fgov.be/en/statistics/opendata/datasets/tools/big/SH_STAT_SECTORS.jsp,No,,scbel01012011_gen13_tcm327-275679.zip,,
BEL_ADM1.zip,Belgium,2015,ADM 1,Statistics Belgium,,Open Data License: http://statbel.fgov.be/en/statistics/opendata/licence/,http://statbel.fgov.be/en/statistics/opendata/datasets/tools/big/SH_STAT_SECTORS.jsp,No,,scbel01012011_gen13_tcm327-275679.zip,,
BEL_ADM2.zip,Belgium,2015,ADM 2,Statistics Belgium,,Open Data License: http://statbel.fgov.be/en/statistics/opendata/licence/,http://statbel.fgov.be/en/statistics/opendata/datasets/tools/big/SH_STAT_SECTORS.jsp,No,,scbel01012011_gen13_tcm327-275679.zip,,
BLZ_ADM0.zip,Belize,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Belize_District.shp.zip,,
BLZ_ADM1.zip,Belize,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Belize_District.shp.zip,,
BEN_ADM0.zip,Benin,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Alibori.shp.zip,,
BEN_ADM1.zip,Benin,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Alibori.shp.zip,,http://data.gov.ro/base/images/logoinst/OGL-ROU-1.0.pdf
BEN_ADM2.zip,Benin,2015,ADM 2,Secondary Administrative Level Boundary (SALB) Project,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),For humanitarian use only,https://data.humdata.org/dataset/benin-administrative-boundaries,Yes,,ben_admbnd2_1m_salb.zip,,
BTN_ADM0.zip,Bhutan,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Bhutan.shp.zip,,
BTN_ADM1.zip,Bhutan,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Bhutan.shp.zip,,
BOL_ADM0.zip,Bolivia,2015,ADM 0,GeoBolivia,Derived from ADM3 layer,"Public Domain; ""free use and access to information""",https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,No,,municipal.zip,,
BOL_ADM1.zip,Bolivia,2015,ADM 1,GeoBolivia,Derived from ADM3 layer,"Public Domain; ""free use and access to information""",https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,No,,municipal.zip,,
BOL_ADM2.zip,Bolivia,2015,ADM 2,GeoBolivia,Derived from ADM3 layer,"Public Domain; ""free use and access to information""",https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,No,,municipal.zip,,
BOL_ADM3.zip,Bolivia,2015,ADM 3,GeoBolivia,,"Public Domain; ""free use and access to information""",https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,No,,municipal.zip,,
BIH_ADM0.zip,Bosnia and Herzegovina,2017,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Brcko_district_of_Bosnia_and_Herzegowina.shp.zip,,
BIH_ADM1.zip,Bosnia and Herzegovina,2017,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,No,,exported_boundaries_Brcko_district_of_Bosnia_and_Herzegowina.shp.zip,,
